id_convocatoria,cui
1000031,2619080
1000042,2194692
1000113,2569720
1000147,2526082
1000232,2179925
1000308,2539997
1000322,2568425
1000360,2631439
1000445,2161813
1000454,2232361
1000475,2452890
1000499,2539997
1000500,2508244
1000543,2620183
1000624,2548290
1000627,2504675
1000649,2518759
1000656,2165021
1000663,"2625918,2625919"
1000671,2502431
1000680,2541094
1000681,2504532
1000684,2459564
1000728,2549832
1000772,2538724
1000781,2525485
1000786,2545867
1000824,2245014
1000852,2244242
1001002,2238318
1001006,2443873
1001040,2564924
1001054,2465249
1001094,2609122
1001095,2572373
1001100,2534198
1001117,2612852
1001171,2539169
1001204,2625120
1001208,2551744
1001234,2624546
1001296,2561035
1001312,2498121
1001318,2601732
1001386,2556614
1001391,2586292
1001446,2200312
1001492,2615556
1001523,2585723
1001562,2590329
1001569,2313145
1001590,2484557
1001657,2496872
1001709,2508678
1001710,2614169
1001746,2505076
1001822,2480502
1001836,2458719
1001840,2398611
1001896,2195180
1001956,2385405
1001964,2166441
1001972,2467049
1001983,2576104
1002115,2610941
1002116,2328927
1002124,2467069
1002146,2209922
1002205,2427411
1002217,2615530
1002277,2195180
1002306,2586718
1002342,2590322
1002348,2590320
1002374,"2468820,2524416,2524505,2524552,2555643,2555645,2555646,2555649,2555650,2555651,2555652,2555655,2555656,2589823,2607110,2607112"
1002404,2331387
1002426,2563301
1002480,2343199
1002504,2618063
1002592,2498193
1002595,5005865
1002597,2573994
1002626,2189060
1002688,"2331578,2645758"
1002728,2485063
1002794,2555851
1002818,2262078
1002821,2618585
1002836,2569388
1002857,2613050
1002874,2605404
1002894,2607319
1002897,2628151
1002910,2332660
1002968,2625888
1003070,2518729
1003072,2620697
1003085,2620683
1003099,2586710
1003122,2237547
1003195,2457768
1003208,2183634
1003225,2599544
1003323,2614473
1003500,2528771
1003521,2564767
1003551,2153794
1003554,2526437
1003560,2578827
1003562,2575651
1003572,2606477
1003642,2537521
1003673,2613898
1003684,2558076
1003685,2332660
1003689,2542762
1003740,2243521
1003757,2078129
1003765,2330602
1003786,2616455
1003802,2495842
1003858,2447248
1003870,2134396
1003880,2573426
1003934,2544143
1003955,2605493
1003960,2520456
1003963,2412543
1003979,2491744
1004002,2332660
1004008,2392064
1004034,2580999
1004190,2603952
1004195,2338024
1004230,2522573
1004394,2239487
1004492,2094975
1004502,2534683
1004513,2572507
1004532,2599148
1004535,2166441
1004557,2601872
1004587,2628181
1004589,2621773
1004625,2620990
1004641,2529924
1004669,2601326
1004673,2081063
1004858,2411558
1004864,2480502
1004872,2546069
1004880,2575102
1004928,2520395
1004972,2332660
1004996,2430535
1005057,2364665
1005178,2600592
1005194,2608281
1005197,2365398
1005213,2238398
1005221,2598215
1005290,2600919
1005300,2633905
1005313,2338999
1005320,2469958
1005354,2490431
1005365,2264512
1005373,2464594
1005374,2611089
1005380,2265048
1005446,2524407
1005452,2558078
1005462,2574777
1005472,2516343
1005491,2545022
1005495,2576941
1005518,2191985
1005527,2324613
1005531,2606576
1005539,2490675
1005544,2599139
1005547,2599710
1005557,2442167
1005574,2459564
1005584,2459564
1005596,5005865
1005643,2313205
1005659,2178882
1005666,2596576
1005677,2580389
1005694,2406075
1005699,2537834
1005738,2288926
1005779,2543599
1005807,2586356
1005881,2433450
1005934,2484626
1005936,2455686
1005937,2451545
1005939,2460205
1005987,2310524
1005990,2314635
1005991,2567575
1005993,2435003
1006000,2592407
1006022,2602536
1006037,2336488
1006038,"2535648,2563209,2565661"
1006039,2430118
1006043,2403872
1006063,2543739
1006069,2590167
1006094,2573994
1006155,2623868
1006171,2458348
1006183,2568425
1006222,2567674
1006235,2598008
1006241,2593768
1006265,2402783
1006266,2598008
1006304,2461243
1006322,2461243
1006341,2616312
1006343,2616312
1006344,2097084
1006359,2351046
1006380,2592407
1006458,2328927
1006467,2507800
1006521,2488260
1006523,2377762
1006531,2500085
1006534,2501612
1006557,2623868
1006562,2625154
1006590,2574396
1006644,2610692
1006662,2607770
1006663,2629015
1006668,2614617
1006672,2614617
1006758,2180989
1006776,"2599544,2600813"
1006784,2525850
1006786,2195454
1006814,2332660
1006828,5005865
1006848,2610301
1006968,2499809
1006969,2623868
1007003,2309153
1007061,2579902
1007066,2561092
1007068,2415771
1007104,2608956
1007110,2211758
1007116,2597008
1007179,2450042
1007195,2499469
1007272,2565995
1007353,2628181
1007365,2077939
1007374,2536211
1007391,2455352
1007432,2183886
1007450,2263802
1007465,2574777
1007471,2077939
1007484,5005865
1007511,2635584
1007559,2595577
1007562,2594627
1007564,2517542
1007640,2596269
1007691,"2234945,2445733,2467209,2478557,2484474,2485597,2485912,2485914,2485915,2485916,2487730,2489229,2496607,2496978,2511928"
1007772,2480499
1007853,2447434
1007876,2525464
1007899,2559186
1007904,2618716
1007933,2559476
1007954,2609320
1007962,2480499
1007981,2431759
1008003,2594380
1008010,2570025
1008027,2160162
1008044,2615751
1008049,2563029
1008051,2625588
1008053,2598055
1008070,2587275
1008110,2545025
1008142,2586504
1008144,2533346
1008148,2468021
1008176,2611312
1008202,2200256
1008205,2596100
1008213,2514674
1008243,2300607
1008387,2577657
1008400,2483146
1008403,2477954
1008425,2602068
1008438,2601867
1008480,2491159
1008518,2305190
1008532,2451751
1008536,2612209
1008544,2307989
1008548,2443519
1008571,2436830
1008617,2274876
1008620,2621602
1008643,2598407
1008690,2627219
1008725,2566068
1008810,2335880
1008846,2230619
1008853,2512552
1008898,2615440
1008907,2304529
1008954,2628181
1008959,2548936
1008970,"2572924,2572984"
1008972,2603072
1008980,2629671
1008981,2611130
1008991,2557858
1009004,2260735
1009019,2309846
1009053,2468306
1009060,2116487
1009073,2513655
1009111,2523955
1009117,2613677
1009137,2591891
1009139,2555814
1009163,2547026
1009179,2617763
1009199,2244071
1009200,2615818
1009233,2597050
1009242,2311196
1009249,2313205
1009314,2178712
1009322,2612786
1009389,2508997
1009420,2464432
1009441,2512286
